jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457848.0,7,27,48,48,15,3,3,15,94.0,77.0,70.8,68.2,66.2,67.7
2457849.0,7,3,15,7,3,7,7,27,85.0,76.9,70.1,68.1,64.2,67.6
2457850.0,7,3,3,7,7,15,7,3,76.0,76.8,69.3,67.9,65.8,67.5
2457851.0,15,7,7,7,3,3,15,27,74.0,76.7,68.3,67.8,60.3,67.5
2457852.0,27,15,27,7,7,7,15,27,73.0,76.6,67.4,67.7,60.0,67.5
2457853.0,27,48,27,15,15,7,3,3,74.0,76.4,66.7,67.7,60.7,67.6
2457854.0,7,3,3,3,7,3,3,7,74.0,76.3,66.2,67.6,62.5,67.7
2457855.0,3,7,15,27,15,7,15,7,75.0,76.2,66.0,67.5,64.3,67.8
2457856.0,15,15,7,7,3,0,0,0,71.0,76.2,66.0,67.5,62.9,68.0
2457857.0,3,7,3,0,3,3,7,7,74.0,76.1,66.3,67.4,64.7,68.2
2457858.0,15,27,15,7,15,7,15,7,73.0,76.2,66.7,67.4,64.1,68.4
2457859.0,15,7,7,3,3,3,3,3,73.0,76.2,67.4,67.4,64.9,68.7
2457860.0,3,3,7,7,0,3,3,3,75.0,76.3,68.2,67.4,63.3,68.9
2457861.0,0,3,7,3,3,3,0,3,75.0,76.4,69.2,67.4,65.7,69.2
2457862.0,7,3,3,3,7,3,3,15,80.0,76.5,70.3,67.5,65.1,69.4
2457863.0,15,48,15,7,0,7,15,15,81.0,76.6,71.3,67.5,71.9,69.6
2457864.0,48,80,27,48,15,15,15,15,81.0,76.6,72.3,67.5,73.3,69.7
2457865.0,3,7,3,3,7,27,48,48,82.0,76.7,73.1,67.5,78.6,69.8
2457866.0,48,80,48,48,80,48,27,80,84.0,76.8,73.6,67.5,81.7,70.0
2457867.0,27,27,80,48,48,48,27,27,83.0,76.9,73.9,67.5,85.1,70.1
2457868.0,27,27,27,27,7,15,27,15,80.0,77.0,73.9,67.5,84.4,70.3
2457869.0,27,15,15,15,15,7,15,7,81.0,77.1,73.6,67.5,84.7,70.6
2457870.0,15,7,15,7,7,7,7,7,80.0,77.2,73.1,67.6,81.6,70.8
2457871.0,7,15,15,3,3,3,7,7,78.0,77.2,72.5,67.6,79.7,71.1
2457872.0,3,3,7,3,7,3,3,7,78.0,77.3,71.7,67.6,76.2,71.3
2457873.0,7,3,7,7,3,3,7,7,77.0,77.3,70.8,67.6,72.7,71.5
2457874.0,7,3,7,7,3,3,7,7,77.0,77.3,69.9,67.6,68.5,71.7
2457875.0,7,7,0,0,3,3,3,7,75.0,77.4,68.9,67.6,62.6,71.8
2457876.0,3,7,3,3,3,3,0,7,77.0,77.4,67.9,67.6,63.7,72.0
2457877.0,3,3,3,3,7,3,0,0,75.0,77.4,66.8,67.6,63.2,72.2
2457878.0,0,7,7,3,3,0,3,27,74.0,77.5,65.9,67.6,68.2,72.3
2457879.0,15,7,3,3,7,0,0,3,74.0,77.5,64.9,67.6,67.5,72.5
2457880.0,3,7,3,3,3,3,3,3,73.0,77.5,64.1,67.6,65.3,72.7
2457881.0,7,15,15,3,3,3,15,7,72.0,77.4,63.4,67.6,69.2,72.8
2457882.0,7,3,7,7,3,3,7,3,71.0,77.2,62.9,67.6,67.7,73.0
2457883.0,3,3,7,3,7,7,3,7,69.0,77.1,62.5,67.5,66.7,73.2
